DIA;Peso Argentino * Billete;Real* Billete;Dólar USA* Billete;Dólar USA* Fondo BCU;Euro*;Oro Londres (en Dolares);
20170102;1,627;8,942;28,795;28,712;30,043;1152,15;
20170103;1,607;8,937;28,599;28,517;29,702;1159,68;
20170104;1,63;8,992;28,685;28,599;29,999;1165,17;
20170105;1,629;9,043;28,668;28,582;30,276;1180,94;
20170109;1,656;9,034;28,728;28,642;30,267;1183,69;
20170110;1,657;9,041;28,75;28,664;30,274;1186,97;
20170111;1,662;9,068;28,835;28,749;30,501;1195,74;
20170112;1,656;9,065;28,737;28,651;30,486;1199,42;
20170113;1,665;9,088;28,808;28,722;30,539;1196,66;
20170116;1,666;9,034;28,819;28,733;30,461;1202,78;
20170117;1,67;9,031;28,718;28,636;30,665;1215,32;
20170118;1,678;9,025;28,7;28,618;30,531;1209,72;
20170119;1,673;9,026;28,611;28,529;30,316;1200,85;
20170120;1,676;9,041;28,659;28,573;30,523;1206,78;
20170123;1,666;8,987;28,49;28,405;30,497;1215,78;
20170124;1,65;8,953;28,382;28,297;30,361;1208,46;
20170125;1,651;8,984;28,479;28,412;30,486;1197,62;
20170126;1,64;8,952;28,379;28,308;30,277;1189,53;
20170127;1,637;8,959;28,399;28,328;30,284;1189,6;
20170130;1,629;8,997;28,342;28,282;30,238;1194,8;
20170131;1,642;8,967;28,245;28,185;30,422;1212,52;
20170201;1,664;8,954;28,296;28,236;30,422;1209,21;
20170202;1,67;9,015;28,397;28,337;30,528;1216,38;
20170203;1,685;9,067;28,47;28,43;30,602;1216,52;
20170206;1,681;9,045;28,402;28,362;30,471;1231,8;
20170207;1,685;9,07;28,479;28,439;30,41;1234,01;
20170208;1,697;9,135;28,684;28,643;30,591;1238,16;
20170209;1,698;9,142;28,615;28,575;30,457;1235,01;
20170210;1,707;9,19;28,672;28,631;30,442;1233,37;
20170213;1,724;9,259;28,61;28,57;30,291;1226,05;
20170214;1,715;9,214;28,47;28,43;30,043;1225,26;
20170215;1,723;9,259;28,426;28,386;30,059;1231,7;
20170216;1,717;9,26;28,335;28,295;30,188;1240,93;
20170217;1,716;9,253;28,314;28,274;29,993;1238,34;
20170220;1,705;9,282;28,309;28,269;29,998;1238,14;
20170221;1,709;9,362;28,368;28,328;29,865;1237,14;
20170222;1,713;9,322;28,431;28,391;29,947;1234,85;
20170223;1,711;9,308;28,482;28,482;30,108;1249,9;
20170224;1,71;9,27;28,552;28,523;30,152;1257,14;
20170301;1,707;9,210;28,505;28,477;30,087;1248,82;
20170302;1,718;9,056;28,344;28,316;29,745;1232,95;
20170303;1,715;9,013;28,299;28,271;29,918;1230,45;
20170306;1,702;9,027;28,253;28,225;29,869;1227,63;
20170307;1,705;9,016;28,311;28,283;29,884;1216,05;
20170308;1,715;9,064;28,461;28,454;30,001;1208,75;
20170309;1,728;9,052;28,515;28,504;30,19;1204,08;
20170310;1,733;9,051;28,419;28,408;30,344;1202,02;
20170313;1,74;9,035;28,369;28,358;30,225;1204,25;
20170314;1,766;8,997;28,43;28,419;30,151;1199,2;
20170315;1,762;9,035;28,371;28,36;30,393;1217,99;
20170316;1,765;8,995;28,245;28,234;30,347;1227,81;
20170317;1,779;9,039;28,292;28,281;30,381;1229,73;
20170320;1,775;9,047;28,226;28,215;30,279;1233,89;
20170321;1,782;9,079;28,328;28,317;30,589;1243,99;
20170322;1,773;9,122;28,371;28,36;30,619;1249,3;
20170323;1,773;9,093;28,551;28,54;30,773;1245,44;
20170324;1,756;9,057;28,44;28,429;30,725;1249,42;
20170327;1,757;9,063;28,459;28,448;30,913;1255,47;
20170328;1,757;9,067;28,47;28,459;30,754;1248,97;
20170329;1,791;9,157;28,663;28,652;30,828;1253,62;
20170330;1,794;9,17;28,701;28,69;30,658;1244,56;
20170331;1,784;9,12;28,544;28,523;30,444;1248,71;
20170403;1,782;9,138;28,511;28,49;30,380;1252,25;
20170404;1,784;9,179;28,546;28,525;30,442;1256,24;
20170405;1,785;9,333;28,56;28,539;30,443;1252,64;
20170406;1,779;9,331;28,46;28,439;30,275;1252,78;
20170407;1,79;9,302;28,463;28,442;30,12;1255,61;
20170410;1,79;9,302;28,464;28,443;30,133;1254,11;
20170411;1,839;9,223;28,5;28,479;30,209;1273,83;
20170412;1,84;9,202;28,525;28,514;30,218;1275,27;
20170418;1,812;9,145;28,442;28,431;30,505;1290,72;
20170419;1,812;9,033;28,455;28,444;30,479;1281,22;
20170420;1,79;8,948;28,456;28,445;30,506;1280,71;
20170421;1,79;8,979;28,463;28,452;30,428;1285,27;
20170424;1,786;8,929;28,394;28,383;30,821;1275,33;
20170425;1,777;8,858;28,257;28,247;30,887;1264,24;
20170426;1,769;8,844;28,123;28,109;30,632;1267,27;
20170427;1,768;8,758;28,114;28,1;30,566;1264,87;
20170428;1,769;8,788;28,123;28,109;30,633;1268,01;
20170502;1,768;8,786;28,114;28,100;30,704;1256,5;
20170503;1,761;8,752;28,007;27,993;30,522;1247,15;
20170504;1,76;8,744;27,981;27,967;30,704;1227,8;
20170505;1,75;8,695;27,823;27,809;30,559;1229,35;
20170508;1,775;8,707;28,038;28,024;30,632;1227,81;
20170509;1,772;8,751;28,091;28,077;30,513;1216,49;
20170510;1,77;8,769;28,06;28,046;30,465;1218,3;
20170511;1,775;8,791;28,042;28,028;30,458;1224,74;
20170512;1,771;8,802;27,989;27,975;30,561;1228;
20170515;1,776;8,795;28,056;28,042;30,786;1231,01;
20170516;1,777;8,828;28,073;28,059;31,133;1237,33;
20170517;1,779;8,839;28,108;28,094;31,318;1257,53;
20170518;1,772;8,516;28,359;28,345;31,453;1248,13;
20170519;1,777;8,642;28,259;28,245;31,66;1255,37;
20170523;1,764;8,629;28,218;28,204;31,545;1252,88;
20170524;1,754;8,609;28,238;28,224;31,612;1255,94;
20170525;1,744;8,559;28,246;28,232;31,638;1255,72;
20170526;1,744;8,561;28,252;28,238;31,56;1269,31;
20170529;1,739;8,561;28,252;28,238;31,546;1268,13;
20170530;1,734;8,537;28,256;28,242;31,593;1262,72;
20170531;1,73;8,522;28,292;28,278;31,789;1271,12;
20170601;1,729;8,566;28,352;28,338;31,78;1267,95;
20170602;1,726;8,580;28,313;28,299;31,909;1277,61;
20170605;1,729;8,565;28,35;28,336;31,896;1279,08;
20170606;1,733;8,586;28,419;28,405;32,008;1290,77;
20170607;1,737;8,635;28,494;28,48;32,056;1284,64;
20170608;1,739;8,616;28,518;28,504;31,986;1279,66;
20170609;1,748;8,608;28,491;28,477;31,887;1270,26;
20170612;1,751;8,544;28,366;28,352;31,773;1266,72;
20170613;1,751;8,519;28,367;28,353;31,78;1266,84;
20170614;1,746;8,546;28,286;28,272;31,725;1267,18;
20170615;1,748;8,527;28,311;28,297;31,568;1254,9;
20170616;1,757;8,523;28,295;28,281;31,659;1254,62;
20170620;1,748;8,455;28,323;28,309;31,504;1243,4;
20170621;1,73;8,393;28,368;28,354;31,659;1246,8;
20170622;1,741;8,396;28,379;28,365;31,62;1249,61;
20170623;1,75;8,339;28,351;28,337;31,735;1256,24;
20170626;1,749;8,383;28,333;28,319;31,662;1242,67;
20170627;1,739;8,388;28,35;28,336;32,147;1250,39;
20170628;1,74;8,393;28,369;28,355;32,264;1249,28;
20170629;1,733;8,407;28,417;28,403;32,476;1245,43;
20170630;1,738;8,431;28,495;28,481;32,518;1241,7;
