DIA;Peso Argentino * Billete;Real* Billete;Dólar USA* Billete;Dólar USA* Fondo BCU;Euro*;Oro Londres (en Dolares);
201701;1,651;9,008;28,611;28,531;30,34;1193,53;
201702;1,702;9,189;28,462;28,422;30,254;1232,99;
201703;1,751;9,068;28,416;28,401;30,353;1231,44;
201704;1,792;9,076;28,403;28,388;30,452;1267,67;
201705;1,762;8,685;28,131;28,117;31,083;1244,82;
201706;1,741;8,495;28,378;28,364;31,886;1261,22;
201707;1,661;8,637;28,641;28,636;33,006;1236,87;
201708;1,589;8,819;28,674;28,651;33,853;1283,9;
201709;1,642;9,062;28,911;28,882;34,384;1315,58;
201710;1,653;9,212;29,378;29,349;34,495;1280,04;
201711;1,621;9,075;29,231;29,202;34,312;1282,66;
201712;1,58;8,926;28,88;28,847;34,146;1266,26;
201801;1,438;8,979;28,572;28,529;34,821;1332,81;
201802;1,389;8,954;28,52;28,477;35,171;1332,18;
201803;1,358;8,892;28,392;28,369;35,002;1325,88;
201804;1,368;8,449;28,317;28,298;34,744;1335,73;
201805;1,296;8,47;30,562;30,56;36,081;1304,79;
201806;1,19;8,225;31,366;31,366;36,629;1281,02;
201807;1,123;8,043;31,146;31,146;36,395;1238,16;
201808;1,074;7,993;31,326;31,326;36,163;1200,47;
201809;0,916;8,12;32,866;32,866;38,329;1198,2;
201810;0,926;8,794;32,886;32,886;37,751;1214,62;
201811;0,94;8,738;32,537;32,535;36,966;1220,53;
201812;0,864;8,439;32,214;32,198;36,63;1250,47;
201901;0,83;8,818;32,598;32,582;37,197;1291,77;
201902;0,852;8,963;32,61;32,594;36,994;1319,62;
201903;0,82;8,939;33,313;33,299;37,624;1302,53;
201904;0,824;9,028;34,136;34,136;38,335;1287,38;
201905;0,791;8,808;35,163;35,163;39,326;1284,76;
201906;0,809;8,916;35,25;35,25;39,824;1358,2;
201907;0,825;8,916;34,823;34,822;39,039;1415,06;
201908;0,709;8,925;35,954;35,954;39,994;1503,68;
201909;0,636;9,083;36,691;36,684;40,383;1508,42;
201910;0,606;9,247;37,301;37,301;41,243;1494,9;
201911;0,592;9,254;37,639;37,639;41,582;1469,97;
201912;0,544;9,325;37,585;37,592;41,751;1479,75;
202001;0,488;9,32;37,355;37,375;41,461;1560,83;
202002;0,504;9,234;38,044;38,044;41,505;1589,85;
202003;0,534;9,787;43,343;43,343;47,875;1590,31;
202004;0,461;9,708;43,391;43,391;47,15;1685,08;
202005;0,376;8,521;43,43;43,43;47,347;1719,99;
202006;0,39;8,416;42,576;42,576;47,957;1735,28;
202007;0,383;8,448;43,05;43,05;49,382;1845,34;
202008;0,337;8,226;42,667;42,667;50,458;1972,28;
202009;0,322;8,106;42,491;42,491;50,076;1923,98;
202010;0,271;7,756;42,687;42,687;50,226;1900,87;
202011;0,283;7,842;42,728;42,728;50,611;1864,18;
202012;0,342;8,303;42,396;42,396;51,573;1856,59;
202101;0,353;8,277;42,288;42,288;51,433;1862,99;
202102;0,38;8,088;42,73;42,73;51,659;1807,79;
202103;0,358;8,171;44,264;44,264;52,675;1721,44;
202104;0,356;8,245;44,09;44,09;52,849;1761,97;
202105;0,349;8,391;43,985;43,985;53,435;1851,74;
202106;0,335;8,667;43,604;43,604;52,509;1833,94;
202107;0,322;8,759;43,833;43,833;51,832;1805,59;
202108;0,306;8,543;43,222;43,222;50,866;1786,1;
202109;0,273;8,353;42,695;42,695;50,238;1777,97;
202110;0,283;8,422;43,616;43,616;50,604;1778,08;
202111;0,24;8,182;43,987;43,987;50,133;1820,18;
202112;0,234;8,123;44,325;44,325;50,096;1790,9;
202201;0,217;8,382;44,515;44,515;50,406;1818,63;
202202;0,213;8,479;43,179;43,179;49,016;1858,08;
202203;0,228;8,621;42,243;42,243;46,519;1950,5;
202204;0,232;8,841;41,149;41,149;44,451;1930,49;
202205;0,216;8,257;40,758;40,758;43,146;1850,39;
202206;0,199;7,882;39,775;39,775;42,016;1837,42;
202207;0,16;7,809;41,09;41,09;41,837;1737,68;
202208;0,151;7,836;40,459;40,459;40,975;1763,67;
202209;0,163;8,113;40,944;40,944;40,526;1681,4;
202210;0,15;8,213;41,062;41,062;40,434;1665,83;
202211;0,141;7,966;39,747;39,747;40,641;1733,05;
202212;0,127;7,887;39,09;39,09;41,392;1797,11;
202301;0,11;8,175;39,386;39,386;42,472;1899,43;
202302;0,106;7,923;39,028;39,028;41,787;1855,79;
202303;0,111;7,772;39,112;39,112;41,907;1914,62;
202304;0,102;7,825;38,782;38,782;42,553;2001,2;
202305;0,087;7,833;38,861;38,861;42,203;1991,76;
202306;0,085;7,777;38,2;38,2;41,417;1941,36;
202307;0,081;7,913;37,888;37,888;41,866;1948,23;
202308;0,063;7,821;37,851;37,851;41,299;1918,55;
202309;0,057;7,95;38,146;38,146;40,699;1913,84;
202310;0,048;8,217;39,745;39,745;41,99;1916,28;
202311;0,046;8,217;39,554;39,554;42,82;1985,41;
202312;0,045;8,224;39,303;39,303;42,879;2032,46;
202401;0,04;8,456;39,139;39,139;42,653;2029,93;
202402;0,038;8,392;39,109;39,109;42,228;2027,53;
202403;0,042;8,238;38,421;38,421;41,8;2159,29;
202404;0,041;7,928;38,479;38,479;41,278;2334,07;
202405;0,038;7,783;38,516;38,516;41,659;2351,52;
