Año,Mes,Día,DIA,Peso Argentino * Billete,Real* Billete,Dólar USA* Billete_x,Dólar USA* Fondo BCU,Euro*,Oro Londres (en Dolares),Unnamed: 7,Dólar USA* Billete_y
2017,01,31,2017-01-31,"1,642","8,967","28,245","28,185","30,422","1212,52",,"28,611"
2017,02,24,2017-02-24,"1,71","9,27","28,552","28,523","30,152","1257,14",,"28,462"
2017,03,31,2017-03-31,"1,784","9,12","28,544","28,523","30,444","1248,71",,"28,416"
2017,04,28,2017-04-28,"1,769","8,788","28,123","28,109","30,633","1268,01",,"28,403"
2017,05,31,2017-05-31,"1,73","8,522","28,292","28,278","31,789","1271,12",,"28,131"
2017,06,30,2017-06-30,"1,738","8,431","28,495","28,481","32,518","1241,7",,"28,378"
2017,07,31,2017-07-31,"1,552","8,561","28,251","28,244","33,423","1270,04",,"28,641"
2017,08,31,2017-08-31,"1,612","8,849","28,849","28,82","34,303","1321,04",,"28,674"
2017,09,29,2017-09-29,"1,619","9,085","28,98","28,951","34,227","1283,04",,"28,911"
2017,10,31,2017-10-31,"1,625","9,061","29,176","29,147","33,961","1270,84",,"29,378"
2017,11,30,2017-11-30,"1,607","8,978","28,998","28,969","34,504","1274,59",,"29,231"
2017,12,29,2017-12-29,"1,485","8,891","28,807","28,764","34,556","1303,74",,"28,88"
2018,01,31,2018-01-31,"1,389","8,907","28,414","28,371","35,247","1341,72",,"28,572"
2018,02,28,2018-02-28,"1,363","8,861","28,356","28,314","34,579","1319,41",,"28,52"
2018,03,28,2018-03-28,"1,339","8,762","28,389","28,354","34,905","1324,35",,"28,392"
2018,04,30,2018-04-30,"1,389","8,293","28,61","28,596","34,551","1318,74",,"28,317"
2018,05,31,2018-05-31,"1,214","8,34","31,192","31,192","36,456","1300,53",,"30,562"
2018,06,29,2018-06-29,"1,14","8,131","31,466","31,466","36,713","1252,15",,"31,366"
2018,07,31,2018-07-31,"1,091","7,915","30,553","30,553","35,736","1225,14",,"31,146"
2018,08,31,2018-08-31,"0,924","7,907","32,339","32,339","37,528","1199,85",,"31,326"
2018,09,28,2018-09-28,"0,898","8,283","33,214","33,214","38,563","1192,09",,"32,866"
2018,10,31,2018-10-31,"0,946","8,945","32,827","32,827","37,159","1214,08",,"32,886"
2018,11,30,2018-11-30,"0,888","8,473","32,197","32,181","36,416","1220,98",,"32,537"
2018,12,28,2018-12-28,"0,82","8,506","32,406","32,39","37,044","1278,51",,"32,214"
2019,01,31,2019-01-31,"0,855","8,805","32,491","32,475","37,156","1319,24",,"32,598"
2019,02,28,2019-02-28,"0,832","8,975","32,667","32,651","37,154","1314,58",,"32,61"
2019,03,29,2019-03-29,"0,797","8,812","33,484","33,484","37,566","1293,12",,"33,313"
2019,04,30,2019-04-30,"0,823","8,947","34,981","34,981","39,247","1284,08",,"34,136"
2019,05,31,2019-05-31,"0,783","8,813","35,252","35,252","39,384","1306,56",,"35,163"
2019,06,28,2019-06-28,"0,833","8,907","35,182","35,182","40,014","1410,36",,"35,25"
